company,title,gender,race,bins,country,region,totalyearlycompensation,yearsofexperience,yearsatcompany,education
IBM,Data Scientist,Male,White,L6,USA,USA,197000,9.0,5.0,4.0
IBM,Product Designer,Other,Unknown,L6,USA,USA,200000,15.0,2.0,4.0
IBM,Software Engineer,Other,Unknown,L6,USA,USA,205000,14.0,14.0,4.0
IBM,Software Engineer,Male,White,L6,USA,USA,165000,25.0,5.0,3.0
IBM,Management Consultant,Other,Unknown,L6,USA,USA,188000,20.0,10.0,4.0
IBM,Management Consultant,Male,White,L6,USA,USA,161000,6.0,6.0,4.0
IBM,Product Designer,Female,White,L6,USA,USA,200000,15.0,2.0,3.0
other,Software Engineering Manager,Male,Unknown,L6,USA,USA,655000,10.0,1.0,4.0
IBM,Software Engineer,Male,Asian,L6,Canada,Canada,160000,7.0,7.0,3.0
IBM,Software Engineer,Other,Unknown,L6,Canada,Canada,130000,25.0,17.0,4.0
other,Software Engineering Manager,Other,Unknown,L6,USA,USA,745000,20.0,2.0,4.0
IBM,Software Engineer,Other,Unknown,L6,USA,USA,163000,33.0,33.0,3.0
IBM,Solution Architect,Other,Unknown,L6,USA,USA,194000,20.0,15.0,4.0
IBM,Software Engineer,Male,White,L6,USA,USA,206000,14.0,6.0,3.0
IBM,Software Engineer,Male,White,L6,Israel,Middle East,190000,20.0,4.0,4.0
IBM,Solution Architect,Female,Asian,L6,USA,USA,130000,19.0,15.0,3.0
IBM,Product Designer,Male,White,L6,USA,USA,176000,6.0,6.0,3.0
IBM,Product Designer,Male,White,L6,USA,USA,163000,6.0,6.0,3.0
other,Software Engineering Manager,Other,Unknown,L6,USA,USA,287000,22.0,0.0,4.0
IBM,Software Engineer,Male,White,L6,USA,USA,188000,30.0,18.0,3.0
IBM,Data Scientist,Other,Unknown,L6,USA,USA,163000,20.0,20.0,4.0
IBM,Software Engineer,Male,Unknown,L6,USA,USA,258000,6.0,0.0,4.0
IBM,Hardware Engineer,Male,Hispanic,L6,USA,USA,145000,10.0,10.0,5.0
IBM,Data Scientist,Male,Asian,L6,USA,USA,200000,8.0,5.0,4.0
IBM,Technical Program Manager,Male,Asian,L6,USA,USA,200000,16.0,0.0,3.0
IBM,Solution Architect,Male,Asian,L6,USA,USA,198000,20.0,1.0,3.0
IBM,Software Engineer,Male,White,L6,USA,USA,172000,22.0,1.0,3.0
IBM,Data Scientist,Other,Unknown,L5,USA,USA,149000,20.0,19.0,4.0
IBM,Marketing,Other,Unknown,L6,United Arab Emirates,Middle East,698000,14.0,8.0,3.0
IBM,Software Engineer,Male,White,L6,USA,USA,260000,14.0,0.0,4.0
IBM,Management Consultant,Male,Asian,L6,USA,USA,182000,13.0,10.0,4.0
IBM,Software Engineer,Other,Unknown,L6,USA,USA,185000,20.0,1.0,3.0
IBM,Software Engineer,Other,Unknown,L6,USA,USA,205000,1.0,1.0,4.0
IBM,Management Consultant,Male,Asian,L7,USA,USA,475000,25.0,2.0,4.0
IBM,Software Engineer,Other,Unknown,L7,USA,USA,367000,16.0,16.0,4.0
other,Data Scientist,Other,Unknown,L7,USA,USA,169000,2.0,2.0,4.0
IBM,Product Designer,Other,Unknown,L2,China,Eastern Asia,47000,0.0,0.0,3.0
other,Hardware Engineer,Male,Asian,L3,Taiwan,Eastern Asia,70000,7.0,3.0,4.0
other,Software Engineer,Other,Unknown,L5,USA,USA,180000,2.0,0.0,3.0
other,Software Engineer,Male,White,L5,USA,USA,140000,4.0,0.0,3.0
other,Software Engineer,Male,Asian,L5,USA,USA,199000,5.0,0.0,4.0
other,Software Engineer,Male,White,L5,USA,USA,180000,3.0,0.0,3.0
other,Software Engineer,Male,Asian,L5,USA,USA,195000,2.0,0.0,4.0
other,Software Engineer,Male,Black,L5,USA,USA,142000,8.0,4.0,3.0
other,Software Engineer,Female,Asian,L2,Japan,Eastern Asia,51000,2.0,2.0,3.0
other,Software Engineer,Male,Asian,L2,Japan,Eastern Asia,57000,9.0,5.0,4.0
other,Data Scientist,Male,Asian,L2,Japan,Eastern Asia,65000,2.0,0.0,3.0
other,Mechanical Engineer,Male,White,L2,Germany,Western Europe,80000,1.0,0.0,4.0
other,Software Engineer,Male,Asian,L2,France,Western Europe,43000,0.0,0.0,4.0
Deloitte,Software Engineer,Female,Two Or More,L2,Canada,Canada,55000,3.0,2.0,3.0
other,Business Analyst,Other,Unknown,L4,USA,USA,100000,1.0,1.0,3.0
other,Business Analyst,Male,White,L4,USA,USA,120000,2.0,1.0,3.0
Capital One,Business Analyst,Male,Unknown,L4,USA,USA,80000,1.0,1.0,3.0
